resume_id,job_role,tfidf_score,semantic_score,abs_diff
16852973,Machine Learning Engineer,0.3049485415852378,0.28606146574020386,0.018887075845033963
16852973,UI/UX Designer,0.16072892106130257,0.31914716958999634,0.15841824852869377
16852973,Data Scientist,0.16485692336898977,0.29755276441574097,0.1326958410467512
16852973,DevOps Engineer,0.15950264851523668,0.3124181032180786,0.15291545470284193
16852973,Product Manager,0.1272002251323945,0.37191465497016907,0.24471442983777456
22323967,Machine Learning Engineer,0.3626085636159019,0.19808387756347656,0.16452468605242532
22323967,UI/UX Designer,0.20634418858768303,0.34788650274276733,0.1415423141550843
22323967,Data Scientist,0.1576397810650224,0.3217787742614746,0.1641389931964522
22323967,DevOps Engineer,0.18319553902937186,0.3449668288230896,0.16177128979371774
22323967,Product Manager,0.14359425272364354,0.3277932405471802,0.18419898782353664
33176873,Machine Learning Engineer,0.39672643013057135,0.1943977326154709,0.20232869751510046
33176873,UI/UX Designer,0.2763676752627616,0.17958757281303406,0.09678010244972757
33176873,Data Scientist,0.22278388739507804,0.18959692120552063,0.03318696618955741
33176873,DevOps Engineer,0.26481473544555467,0.2631911635398865,0.0016235719056681974
33176873,Product Manager,0.19728914836380645,0.24107550084590912,0.043786352482102664
27018550,Machine Learning Engineer,0.34687019349146336,0.2188555896282196,0.12801460386324376
27018550,UI/UX Designer,0.16654076491302633,0.30199623107910156,0.13545546616607523
27018550,Data Scientist,0.14539254646937083,0.3502655029296875,0.20487295646031667
27018550,DevOps Engineer,0.16896676960965176,0.2814580202102661,0.11249125060061435
27018550,Product Manager,0.1088688129382786,0.3540969491004944,0.24522813616221578
17812897,Machine Learning Engineer,0.3724780789425437,0.24247729778289795,0.13000078115964575
17812897,UI/UX Designer,0.2327737259496794,0.25151148438453674,0.018737758434857338
17812897,Data Scientist,0.20053966024283632,0.2661800980567932,0.0656404378139569
17812897,DevOps Engineer,0.22155761419218775,0.26769548654556274,0.04613787235337499
17812897,Product Manager,0.16740817978118067,0.2899476885795593,0.12253950879837866
11592605,Machine Learning Engineer,0.34819738780206916,0.2630327045917511,0.08516468321031806
11592605,UI/UX Designer,0.18913231391299454,0.19683098793029785,0.007698674017303314
11592605,Data Scientist,0.15536844077646858,0.19066835939884186,0.03529991862237328
11592605,DevOps Engineer,0.18384129013972836,0.1905144900083542,0.006673199868625829
11592605,Product Manager,0.11761963319509526,0.10934506356716156,0.0082745696279337
25824789,Machine Learning Engineer,0.3204201737290617,0.26757049560546875,0.052849678123592925
25824789,UI/UX Designer,0.21897631697934733,0.27866774797439575,0.05969143099504842
25824789,Data Scientist,0.14291826451249293,0.2599504292011261,0.11703216468863317
25824789,DevOps Engineer,0.19485982334821084,0.3061370849609375,0.11127726161272666
25824789,Product Manager,0.15067477711248797,0.2916398346424103,0.1409650575299223
15375009,Machine Learning Engineer,0.3378139485706071,0.233864888548851,0.10394906002175608
15375009,UI/UX Designer,0.21309699108790617,0.3310301601886749,0.11793316910076876
15375009,Data Scientist,0.1713685199415168,0.29248112440109253,0.12111260445957572
15375009,DevOps Engineer,0.2050500697485129,0.3365897536277771,0.1315396838792642
15375009,Product Manager,0.13744356566299187,0.4130074381828308,0.27556387251983894
11847784,Machine Learning Engineer,0.3938020062695818,0.38614100217819214,0.007661004091389645
11847784,UI/UX Designer,0.21599515533847014,0.34978798031806946,0.13379282497959932
11847784,Data Scientist,0.14884119308797422,0.37485969066619873,0.2260184975782245
11847784,DevOps Engineer,0.2042438174750593,0.38399702310562134,0.17975320563056205
11847784,Product Manager,0.141204413793405,0.38415729999542236,0.24295288620201735
32896934,Machine Learning Engineer,0.3050828081145491,0.19104601442813873,0.11403679368641034
32896934,UI/UX Designer,0.16784217507654625,0.31432604789733887,0.14648387282079262
32896934,Data Scientist,0.13366222958829754,0.3712063133716583,0.23754408378336078
32896934,DevOps Engineer,0.15577921720263277,0.3441336750984192,0.18835445789578642
32896934,Product Manager,0.10813939768165602,0.3651372790336609,0.25699788135200485
29149998,Machine Learning Engineer,0.39081883367395176,0.3738069534301758,0.01701188024377598
29149998,UI/UX Designer,0.24361760868740517,0.3453525900840759,0.10173498139667075
29149998,Data Scientist,0.20392390350749787,0.41402801871299744,0.21010411520549957
29149998,DevOps Engineer,0.22337742273533615,0.3534083366394043,0.13003091390406815
29149998,Product Manager,0.17846435417511317,0.32615089416503906,0.1476865399899259
11480899,Machine Learning Engineer,0.41371554501638447,0.3281592130661011,0.08555633195028339
11480899,UI/UX Designer,0.22566407361029314,0.24325478076934814,0.017590707159055002
11480899,Data Scientist,0.19620950018735375,0.28664374351501465,0.0904342433276609
11480899,DevOps Engineer,0.22414249041061188,0.28253990411758423,0.05839741370697235
11480899,Product Manager,0.16451474630798937,0.3488130569458008,0.1842983106378114
23155093,Machine Learning Engineer,0.38457604646882604,0.3236452341079712,0.06093081236085485
23155093,UI/UX Designer,0.2025443561603808,0.34082555770874023,0.13828120154835943
23155093,Data Scientist,0.15962578010403627,0.30979734659194946,0.1501715664879132
23155093,DevOps Engineer,0.20095929354624695,0.31486645340919495,0.113907159862948
23155093,Product Manager,0.14133383283357134,0.43394023180007935,0.292606398966508
11763983,Machine Learning Engineer,0.33713562331728314,0.3028342127799988,0.03430141053728436
